city,count
Norwood,3889
Manchester,3857
Albany,2237
Milford,2228
Nashua,2220
Southfield,2106
Raynham,2079
Plymouth,2045
Auburn,2023
Danvers,2011
Paramus,2001
Hartford,1973
Stamford,1947
Portsmouth,1878
Concord,1843
Clinton Township,1812
Lowell,1767
Watertown,1740
Brooklyn,1712
Highland,1667
Washington,1642
Schenectady,1629
Danbury,1623
Westborough,1619
Saco,1591
West Springfield,1588
Braintree,1573
Kalamazoo,1528
Ramsey,1501
Bronx,1467
Hanover,1465
Waterbury,1465
Novi,1452
Saint James,1428
Latham,1404
Shrewsbury,1389
Yonkers,1380
Rochester Hills,1373
Brockton,1369
Framingham,1346
Somerville,1336
East Providence,1320
Great Neck,1317
Johnston,1294
East Hartford,1271
Detroit,1251
Richmond,1241
New Rochelle,1235
Mendon,1201
Middletown,1197
Long Island City,1190
Huntington,1187
Branford,1177
Fenton,1175
Lynnfield,1162
Redford,1161
Englewood,1156
Huntington Station,1121
Flint,1119
Bay Shore,1104
Riverhead,1103
South Burlington,1101
Haverhill,1095
Warwick,1085
White Plains,1081
Hyannis,1064
Warren,1038
Valley Stream,1038
Burlington,1036
Battle Creek,1035
New Hudson,1021
Grand Ledge,1003
Torrington,1002
Natick,991
Bloomfield Hills,990
Elizabeth,981
New York,979
Patchogue,972
Woburn,972
North Attleboro,968
Lake Orion,965
Naugatuck,963
Peabody,956
Lansing,950
Jersey City,945
Cranston,906
Freeport,885
Boston,876
Paterson,872
Wallingford,867
Berlin,867
Waterford,860
Hackensack,857
Springfield,848
Clifton Park,848
Fort Wayne,843
Somersworth,842
Westwood,842
South Portland,839
Rochester,838
Warsaw,836
Little Falls,825
Salem,825
Worcester,821
North Haven,817
Queensbury,813
Bristol,811
Hempstead,800
Totowa,797
Greenvale,785
Laconia,776
Brighton,775
Seekonk,767
Plattsburgh,764
Greenwich,764
Dover,759
Jackson,758
Vernon Rockville,756
Mishawaka,753
Wood-Ridge,749
Saratoga Springs,748
Kingston,745
Keene,738
Bridgewater,735
Medford,732
Plainwell,731
North Kingstown,724
Northampton,719
Howell,719
Royal Oak,717
Farmington Hills,715
Gorham,713
Lynn,713
Hooksett,707
Marlborough,685
Elkhart,685
Lancaster,679
Roslyn,674
Grand Rapids,673
Poughkeepsie,652
Mount Kisco,646
Augusta,639
Acton,638
Westport,634
Smithtown,625
West Warwick,624
Kokomo,623
Rockville Centre,619
Newport,614
Wakefield,610
Pittsfield,609
Avenel,605
Stratham,605
Old Bridge,604
South Bend,600
Glen Cove,599
Cheshire,585
Waterville,583
Franklin,579
Brunswick,579
Westbrook,578
Brick,573
North Dartmouth,569
Fall River,568
Enfield,566
Oak Park,564
Bourne,555
Westbury,554
East Windsor,553
Westland,552
Wall Township,548
Center Line,544
Marion,542
Lebanon,538
Attleboro,537
Trenton,527
Littleton,527
Lodi,525
Newton,523
Sterling Heights,519
West Nyack,518
Tilton,515
Eatontown,511
Agawam,508
South Easton,506
Saint Johnsbury,506
Jackson Heights,500
Swansea,490
White River Junction,488
East Greenwich,487
Swanzey,485
Fair Lawn,472
Wiscasset,467
Bennington,464
Tarrytown,462
Bangor,462
Maumee,459
Canton,459
Plainville,458
West Roxbury,457
Exeter,447
Bridgeport,446
Hudson,443
Red Bank,443
Everett,443
Toledo,441
Whitman,438
Abington,433
Parsippany,433
Dorchester,432
Nanuet,430
Ft Wayne,428
Roseville,425
Davison,419
Hasbrouck Heights,418
Levittown,417
Putnam,409
Lapeer,405
Amityville,404
Avon,400
Rochelle Park,397
Chicopee,397
Merrimack,396
Thomaston,395
Simsbury,394
Westfield,393
Winthrop,391
Barre,391
Little Ferry,390
Hillside,389
Macomb,388
Brattleboro,387
Ypsilanti,387
Londonderry,384
West Islip,383
Ansonia,382
Tewksbury,380
Farmingdale,379
Sussex,379
Old Saybrook,377
Stratford,372
Taylor,368
Logansport,367
Meriden,366
Delaware,365
Sylvania,363
Portland,362
Leominster,361
Holyoke,359
Bedford,357
Holly,356
Bohemia,355
Neptune,354
Linden,352
Adrian,352
Summit,349
New Britain,349
Epsom,347
Woodside,346
Dayton,346
Watchung,346
Sudbury,346
Walled Lake,345
Smithfield,345
Plaistow,340
West Simsbury,340
East Haven,339
Hingham,338
Methuen,337
Imlay City,336
New Bedford,331
Farmington,329
Cambridge,326
New Haven,325
Port Huron,325
Rhinebeck,323
Jamaica,323
Williston,321
Ann Arbor,320
Union,319
Riverdale,318
Upper Saddle River,316
St Albans,314
Freehold,313
Norwell,313
Eastpointe,313
Scarborough,307
Syosset,306
Ewing,305
Spring Valley,303
Okemos,301
Southampton,299
Oneonta,298
Derry,298
Dearborn,298
North Brunswick,295
Cranbury,293
Foxboro,291
Verona,287
Norwalk,286
Scotia,286
East Hanover,283
Greenfield,282
Brewster,282
Grand Blanc,281
Fitchburg,280
Clifton,279
Woonsocket,278
Catskill,278
Monroe,277
Dartmouth,276
Malden,275
Lewis Center,275
Saint Albans,274
Claremont,271
Taunton,269
South River,269
Lakewood,268
Mahwah,268
Morristown,266
Caledonia,266
West Bridgewater,264
Rutland,263
Colonia,263
Rockland,261
Wilton,261
East Greenbush,259
Reading,257
Westford,257
Stoneham,255
South Hackensack,255
Woodbridge,254
Pawling,254
St James,251
Findlay,249
Chelmsford,248
Forest Hills,247
Wellesley Hills,247
Darien,246
Flushing,246
Auburn Hills,245
Jericho,245
Fairfield,244
Coldwater,244
Newark,244
Dudley,244
China,244
Terryville,242
Princeton,241
Gardner,241
Sharon,240
Somerset,239
Wayne,238
South Windsor,237
Beverly,237
Glastonbury,235
Paw Paw,233
Cortlandt Manor,231
North Plainfield,231
Wareham,230
West Babylon,228
Lincoln,228
New London,227
Ellsworth,226
Richmond Hill,225
Douglaston,224
North Springfield,223
South Kingstown,222
Middlebury,218
South Haven,217
Lunenburg,216
Hicksville,216
Norwich,214
Arundel,213
Muncie,212
Irvington,212
South Amboy,211
Mechanicville,211
Fowlerville,210
Hardwick,210
Oakhurst,210
Ridgefield,208
Swanton,207
Webster,207
Decatur,206
Miamisburg,206
Falmouth,205
Shelburne,204
Manahawkin,204
Monmouth Junction,204
White Lake,202
Scarsdale,202
Arlington,201
Vicksburg,201
Portage,201
Montpelier,200
Warrensburg,200
Mahopac,199
Dewitt,199
Narragansett,199
Sandusky,199
Whitestown,199
Lindenhurst,198
Amsterdam,198
Johnstown,197
Hawthorne,197
Flemington,194
Ontario,194
Yorktown Heights,192
Sayville,191
South Yarmouth,190
Wappingers Falls,188
Saint Louis,187
York,185
Tiverton,184
Willimantic,184
Lawrence,184
Comstock,183
Yarmouth,183
Brookline,182
South Paris,182
Monsey,182
Goshen,181
Winchester,180
Salisbury,179
Copiague,178
West Caldwell,177
Bow,177
Ozone Park,175
Saint Marys,175
Rahway,173
Lyme,171
Southold,171
Shelby Township,169
North Franklin,169
Fairhaven,168
Niles,166
Livonia,166
Green Brook,166
Bedford Hills,164
Roselle,164
Union City,164
Windsor Locks,164
Harriman,163
Stoughton,163
Houston,162
Calais,161
Glens Falls,160
Charlton,159
Lynbrook,158
E Swanzey,158
Wellesley,158
Derby,155
Ellington,155
Malone,155
Goffstown,154
St Clair Shores,153
Pontiac,153
South Weymouth,153
Belford,151
Greenland,150
Topsham,149
Robbinsville,149
Lititz,147
Sturgis,146
Madison Heights,146
Hickory Hills,146
Ravena,144
Colchester,144
Ayer,144
Perry,143
Toms River,142
Monticello,140
Cincinnati,140
Oakland,138
Parsippany-Troy Hills,138
Zionsville,136
Newburgh,136
Hyannis Port,136
Caribou,136
Milton,135
Cumberland,135
Chesterfield,134
Queens Village,134
New Windsor,133
Weymouth,133
East Meadow,131
North Hampton,131
Ridgewood,131
Gloucester,129
Lawrenceville,129
Andover,129
Lexington,128
