make_name,count
Ford,46516
Chevrolet,32703
Toyota,23132
Honda,22821
Jeep,19230
Nissan,18038
Subaru,13540
Hyundai,11218
Kia,10058
GMC,9336
Mercedes-Benz,8991
BMW,8780
Volkswagen,7525
RAM,7507
Buick,6253
Dodge,5737
Audi,5260
Mazda,5020
Cadillac,4842
Lincoln,4539
Lexus,4189
Volvo,4064
Acura,3679
Chrysler,2926
Land Rover,2564
INFINITI,2411
Mitsubishi,1853
Porsche,1295
Jaguar,1104
MINI,995
Alfa Romeo,986
Maserati,588
Genesis,276
Pontiac,256
FIAT,256
Scion,175
Mercury,158
Saturn,136
Bentley,135
Ferrari,128
Tesla,115
Aston Martin,106
Hummer,86
McLaren,75
Saab,72
Rolls-Royce,68
Suzuki,66
smart,34
Oldsmobile,33
Lamborghini,29
Lotus,22
Plymouth,21
Karma,17
Freightliner,7
MG,5
Isuzu,4
Triumph,4
Shelby,2
AMC,2
Fisker,2
Maybach,2
Kaiser,1
Spyker,1
Datsun,1
Pagani,1
Studebaker,1
AM General,1
Austin-Healey,1
Hudson,1
